step	role	source_path	file_name	file_ext	size_bytes	sha256	release_path
code	analysis_script	/mnt/h/vir/ST/48_mechanism_group_top50_lincs_candidates.py	48_mechanism_group_top50_lincs_candidates.py	.py	13261	579eaaf55bf9b6b16a91a7c9abb056dc9fbd8f0f291db170f61b8e090d5cba39	github_repo_skeleton/scripts/48_mechanism_group_top50_lincs_candidates.py
code	analysis_script	/mnt/h/vir/ST/48b_fix_mechanism_group_overrides.py	48b_fix_mechanism_group_overrides.py	.py	16860	f9c0723d4e51df8c0a9f19b43c1428a81e804635f4b87d79c2ef0ae211fcce55	github_repo_skeleton/scripts/48b_fix_mechanism_group_overrides.py
code	analysis_script	/mnt/h/vir/ST/49a_weighted_final_score_after_44b.py	49a_weighted_final_score_after_44b.py	.py	8935	a995d5f9a54e802894f82b5c24bae88ef4e09ed72f245d2733ad78f38b2c5767	github_repo_skeleton/scripts/49a_weighted_final_score_after_44b.py
code	analysis_script	/mnt/h/vir/ST/49b_collect_sensitivity_stability.py	49b_collect_sensitivity_stability.py	.py	6787	41de028e2758999ad4424adfb7f1be24a53e024b6ac7cb54353b52b0bba51c0d	github_repo_skeleton/scripts/49b_collect_sensitivity_stability.py
code	analysis_script	/mnt/h/vir/ST/50_enrich_bbb_smiles_structures.py	50_enrich_bbb_smiles_structures.py	.py	38941	a9cb10bdeb2e60cd83c527bef04b3ca1dc2c2916c1d4ccfb4578940ca70c424f	github_repo_skeleton/scripts/50_enrich_bbb_smiles_structures.py
code	analysis_script	/mnt/h/vir/ST/50b_fix_bbb_consensus_conflicts.py	50b_fix_bbb_consensus_conflicts.py	.py	16441	020ed0124329de96051774799903e8f8378592a91a5ee39fbf5b0addbb0c380f	github_repo_skeleton/scripts/50b_fix_bbb_consensus_conflicts.py
code	analysis_script	/mnt/h/vir/ST/51_prepare_real_external_lincs_cmap_long.py	51_prepare_real_external_lincs_cmap_long.py	.py	8915	9b633faa5c2501bb871d47a7b567d4b2a9be45a246b10aa086a07b2c8df97294	github_repo_skeleton/scripts/51_prepare_real_external_lincs_cmap_long.py
code	analysis_script	/mnt/h/vir/ST/52_recompute_final_priority_with_bbb_consensus.py	52_recompute_final_priority_with_bbb_consensus.py	.py	25645	f822c5e5f0b6d66a44ac8c10cac51ff6b9525590ce37af9e1c0a7e4ef5b0eefd	github_repo_skeleton/scripts/52_recompute_final_priority_with_bbb_consensus.py
code	analysis_script	/mnt/h/vir/ST/53_add_neighbor_shift_distance_proxy.py	53_add_neighbor_shift_distance_proxy.py	.py	42061	b5cd59c1b3b9bb549d9a9a0ef95d87186011e6ac84789ced0595f7ee94944d37	github_repo_skeleton/scripts/53_add_neighbor_shift_distance_proxy.py
code	analysis_script	/mnt/h/vir/ST/53b_prepare_coordinate_metadata_for_virtual_cells_v2.py	53b_prepare_coordinate_metadata_for_virtual_cells_v2.py	.py	6121	e1c3e4bce16bea0db0289b504d61d935c45c535dbd78340284f9385670799c89	github_repo_skeleton/scripts/53b_prepare_coordinate_metadata_for_virtual_cells_v2.py
code	analysis_script	/mnt/h/vir/ST/53b_rebuild_virtual_knn_neighbor_profile.py	53b_rebuild_virtual_knn_neighbor_profile.py	.py	47315	57d210bce2b57969105d891aa42ba75517ef0f27e1f838189eaee95144fdafe5	github_repo_skeleton/scripts/53b_rebuild_virtual_knn_neighbor_profile.py
code	analysis_script	/mnt/h/vir/ST/53c_add_RCTD_composition_to_knn_neighbor_profile.py	53c_add_RCTD_composition_to_knn_neighbor_profile.py	.py	29068	a9db0df79eb61b15ec3c7e0f1df151aec824dd26da889f28605ed558599e4dc4	github_repo_skeleton/scripts/53c_add_RCTD_composition_to_knn_neighbor_profile.py
